uuid,name,input_data_model_uuid,input_data_model_name,input_schema_uuid,input_schema_name,output_data_model_uuid,output_data_model_name,output_schema_uuid,output_schema_name,mappings_count
0d0087a0-6e23-821b-3a2d-b7b1a26b0177,new_im_springer_articles_title_rel,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,DataModel-490cb323-df46-455a-923b-9b06ca12b3aa,Internal Data Model UBL Intermediate Format,Schema-d06726be-a8e2-412a-b5e7-76cba340108b,UBL Intermediate Format schema,9
3c740d85-f2ed-015b-872e-cf6a7db6cedc,new_intermediateschema_required,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,DataModel-490cb323-df46-455a-923b-9b06ca12b3aa,Internal Data Model UBL Intermediate Format,Schema-d06726be-a8e2-412a-b5e7-76cba340108b,UBL Intermediate Format schema,9
452a62b3-722c-c4cb-6f3c-731d0a7fb392,new_im_springer_journals_content_rel,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,DataModel-490cb323-df46-455a-923b-9b06ca12b3aa,Internal Data Model UBL Intermediate Format,Schema-d06726be-a8e2-412a-b5e7-76cba340108b,UBL Intermediate Format schema,3
6ee74302-5838-5042-7f95-138d55bc18c4,new_im_springer_journals_identifier_rel,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,DataModel-490cb323-df46-455a-923b-9b06ca12b3aa,Internal Data Model UBL Intermediate Format,Schema-d06726be-a8e2-412a-b5e7-76cba340108b,UBL Intermediate Format schema,4
8b15da35-0404-c07f-a9b8-8bb32f2ccc9b,new_im_springer_journals_publisher_rel,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,DataModel-490cb323-df46-455a-923b-9b06ca12b3aa,Internal Data Model UBL Intermediate Format,Schema-d06726be-a8e2-412a-b5e7-76cba340108b,UBL Intermediate Format schema,2
d790a8b8-f6d4-21de-c17d-5e196166bee3,new_im_springer_journals_author_rel,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,DataModel-490cb323-df46-455a-923b-9b06ca12b3aa,Internal Data Model UBL Intermediate Format,Schema-d06726be-a8e2-412a-b5e7-76cba340108b,UBL Intermediate Format schema,3
