uuid,name,input_data_model_uuid,input_data_model_name,input_schema_uuid,input_schema_name,output_data_model_uuid,output_data_model_name,output_schema_uuid,output_schema_name,mappings_count
1d49bed3-237f-a08a-8f81-32f1e79cc9cc,springer_journals_simple_identifiers_related,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,5fddf2c5-916b-49dc-a07d-af04020c17f7,Internal Data Model finc Solr,Schema-5664ba0e-ccb3-4b71-8823-13281490de30,finc Solr schema,8
77d9bcaa-4935-426a-68ea-682957201ea9,springer_journals_simple_access_format_type,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,5fddf2c5-916b-49dc-a07d-af04020c17f7,Internal Data Model finc Solr,Schema-5664ba0e-ccb3-4b71-8823-13281490de30,finc Solr schema,17
ab2004fd-e7ca-8006-3de4-55691f09b232,springer_journals_complex_imprint,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,5fddf2c5-916b-49dc-a07d-af04020c17f7,Internal Data Model finc Solr,Schema-5664ba0e-ccb3-4b71-8823-13281490de30,finc Solr schema,2
b57344d8-1b73-c7c0-9d22-cf2def17a36f,springer_journals_simple_topic_related,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,5fddf2c5-916b-49dc-a07d-af04020c17f7,Internal Data Model finc Solr,Schema-5664ba0e-ccb3-4b71-8823-13281490de30,finc Solr schema,4
cac85aea-462b-f0e3-640a-db1f258d275e,springer_journals_complex_title_related,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,5fddf2c5-916b-49dc-a07d-af04020c17f7,Internal Data Model finc Solr,Schema-5664ba0e-ccb3-4b71-8823-13281490de30,finc Solr schema,2
dee39a92-74a5-793b-a98c-d12273451df0,springer_journals_simple_title_related,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,5fddf2c5-916b-49dc-a07d-af04020c17f7,Internal Data Model finc Solr,Schema-5664ba0e-ccb3-4b71-8823-13281490de30,finc Solr schema,4
e7d9dd35-1261-bd82-cd35-c6739287be4a,springer_journals_complex_url,cdee5eab-93c4-333d-ab71-e1be7d5622f4,Springer Journals sample records,Schema-f7fd6d5d-9b85-4103-85d0-f062c8de52f8,Springer Journals schema,5fddf2c5-916b-49dc-a07d-af04020c17f7,Internal Data Model finc Solr,Schema-5664ba0e-ccb3-4b71-8823-13281490de30,finc Solr schema,1
